"Attribute";"Weight"
"AAindex_OOBM770104_avg";1.0
"AAindex_OOBM770104_min5";0.0
"AAindex_OOBM770104_min10";1.0
"AAindex_OOBM770104_min15";0.0
"AAindex_OOBM770104_max5";0.0
"AAindex_OOBM770104_max10";1.0
"AAindex_OOBM770104_max15";1.0
"AAindex_OOBM770105_avg";1.0
"AAindex_OOBM770105_min5";0.0
"AAindex_OOBM770105_min10";1.0
"AAindex_OOBM770105_min15";1.0
"AAindex_OOBM770105_max5";1.0
"AAindex_OOBM770105_max10";0.0
"AAindex_OOBM770105_max15";0.0
"AAindex_OOBM850103_avg";1.0
"AAindex_OOBM850103_min5";1.0
"AAindex_OOBM850103_min10";1.0
"AAindex_OOBM850103_min15";1.0
"AAindex_OOBM850103_max5";1.0
"AAindex_OOBM850103_max10";0.0
"AAindex_OOBM850103_max15";0.0
"AAindex_OOBM850104_avg";0.0
"AAindex_OOBM850104_min5";0.0
"AAindex_OOBM850104_min10";0.0
"AAindex_OOBM850104_min15";0.0
"AAindex_OOBM850104_max5";1.0
"AAindex_OOBM850104_max10";1.0
"AAindex_OOBM850104_max15";1.0
"AAindex_PONP800101_avg";1.0
"AAindex_PONP800101_min5";0.0
"AAindex_PONP800101_min10";1.0
"AAindex_PONP800101_min15";1.0
"AAindex_PONP800101_max5";0.0
"AAindex_PONP800101_max10";1.0
"AAindex_PONP800101_max15";1.0
"AAindex_PONP800102_avg";1.0
"AAindex_PONP800102_min5";0.0
"AAindex_PONP800102_min10";1.0
"AAindex_PONP800102_min15";1.0
"AAindex_PONP800102_max5";0.0
"AAindex_PONP800102_max10";0.0
"AAindex_PONP800102_max15";0.0
"AAindex_PONP800103_avg";1.0
"AAindex_PONP800103_min5";1.0
"AAindex_PONP800103_min10";0.0
"AAindex_PONP800103_min15";0.0
"AAindex_PONP800103_max5";1.0
"AAindex_PONP800103_max10";0.0
"AAindex_PONP800103_max15";1.0
"AAindex_PRAM900101_avg";1.0
"AAindex_PRAM900101_min5";0.0
"AAindex_PRAM900101_min10";0.0
"AAindex_PRAM900101_min15";0.0
"AAindex_PRAM900101_max5";0.0
"AAindex_PRAM900101_max10";0.0
"AAindex_PRAM900101_max15";0.0
"AAindex_RADA880101_avg";0.0
"AAindex_RADA880101_min5";0.0
"AAindex_RADA880101_min10";1.0
"AAindex_RADA880101_min15";1.0
"AAindex_RADA880101_max5";1.0
"AAindex_RADA880101_max10";1.0
"AAindex_RADA880101_max15";0.0
"AAindex_RADA880102_avg";0.0
"AAindex_RADA880102_min5";0.0
"AAindex_RADA880102_min10";1.0
"AAindex_RADA880102_min15";0.0
"AAindex_RADA880102_max5";1.0
"AAindex_RADA880102_max10";1.0
"AAindex_RADA880102_max15";0.0
"AAindex_RADA880103_avg";1.0
"AAindex_RADA880103_min5";0.0
"AAindex_RADA880103_min10";1.0
"AAindex_RADA880103_min15";1.0
"AAindex_RADA880103_max5";0.0
"AAindex_RADA880103_max10";0.0
"AAindex_RADA880103_max15";0.0
"AAindex_RADA880104_avg";1.0
"AAindex_RADA880104_min5";0.0
"AAindex_RADA880104_min10";1.0
"AAindex_RADA880104_min15";1.0
"AAindex_RADA880104_max5";1.0
"AAindex_RADA880104_max10";1.0
"AAindex_RADA880104_max15";0.0
"AAindex_RADA880105_avg";1.0
"AAindex_RADA880105_min5";0.0
"AAindex_RADA880105_min10";0.0
"AAindex_RADA880105_min15";0.0
"AAindex_RADA880105_max5";1.0
"AAindex_RADA880105_max10";1.0
"AAindex_RADA880105_max15";0.0
"AAindex_ROBB790101_avg";1.0
"AAindex_ROBB790101_min5";1.0
"AAindex_ROBB790101_min10";0.0
"AAindex_ROBB790101_min15";1.0
"AAindex_ROBB790101_max5";0.0
"AAindex_ROBB790101_max10";0.0
"AAindex_ROBB790101_max15";1.0
"AAindex_ROSM880101_avg";1.0
"AAindex_ROSM880101_min5";0.0
"AAindex_ROSM880101_min10";1.0
"AAindex_ROSM880101_min15";0.0
"AAindex_ROSM880101_max5";0.0
"AAindex_ROSM880101_max10";1.0
"AAindex_ROSM880101_max15";0.0
"AAindex_ROSM880102_avg";1.0
"AAindex_ROSM880102_min5";1.0
"AAindex_ROSM880102_min10";0.0
"AAindex_ROSM880102_min15";1.0
"AAindex_ROSM880102_max5";1.0
"AAindex_ROSM880102_max10";1.0
"AAindex_ROSM880102_max15";1.0
"AAindex_SIMZ760101_avg";1.0
"AAindex_SIMZ760101_min5";0.0
"AAindex_SIMZ760101_min10";0.0
"AAindex_SIMZ760101_min15";0.0
"AAindex_SIMZ760101_max5";1.0
"AAindex_SIMZ760101_max10";0.0
"AAindex_SIMZ760101_max15";0.0
"AAindex_SWER830101_avg";0.0
"AAindex_SWER830101_min5";0.0
"AAindex_SWER830101_min10";0.0
"AAindex_SWER830101_min15";0.0
"AAindex_SWER830101_max5";1.0
"AAindex_SWER830101_max10";1.0
"AAindex_SWER830101_max15";0.0
"AAindex_VHEG790101_avg";0.0
"AAindex_VHEG790101_min5";0.0
"AAindex_VHEG790101_min10";0.0
"AAindex_VHEG790101_min15";0.0
"AAindex_VHEG790101_max5";0.0
"AAindex_VHEG790101_max10";0.0
"AAindex_VHEG790101_max15";0.0
"AAindex_WERD780102_avg";1.0
"AAindex_WERD780102_min5";0.0
"AAindex_WERD780102_min10";1.0
"AAindex_WERD780102_min15";1.0
"AAindex_WERD780102_max5";1.0
"AAindex_WERD780102_max10";0.0
"AAindex_WERD780102_max15";1.0
"AAindex_WERD780103_avg";1.0
"AAindex_WERD780103_min5";1.0
"AAindex_WERD780103_min10";0.0
"AAindex_WERD780103_min15";0.0
"AAindex_WERD780103_max5";0.0
"AAindex_WERD780103_max10";0.0
"AAindex_WERD780103_max15";0.0
"AAindex_WERD780104_avg";0.0
"AAindex_WERD780104_min5";0.0
"AAindex_WERD780104_min10";0.0
"AAindex_WERD780104_min15";1.0
"AAindex_WERD780104_max5";0.0
"AAindex_WERD780104_max10";1.0
"AAindex_WERD780104_max15";1.0
"AAindex_YUTK870101_avg";0.0
"AAindex_YUTK870101_min5";0.0
"AAindex_YUTK870101_min10";1.0
"AAindex_YUTK870101_min15";0.0
"AAindex_YUTK870101_max5";1.0
"AAindex_YUTK870101_max10";1.0
"AAindex_YUTK870101_max15";0.0
"AAindex_YUTK870102_avg";0.0
"AAindex_YUTK870102_min5";1.0
"AAindex_YUTK870102_min10";1.0
"AAindex_YUTK870102_min15";0.0
"AAindex_YUTK870102_max5";0.0
"AAindex_YUTK870102_max10";1.0
"AAindex_YUTK870102_max15";1.0
"AAindex_YUTK870103_avg";0.0
"AAindex_YUTK870103_min5";1.0
"AAindex_YUTK870103_min10";1.0
"AAindex_YUTK870103_min15";0.0
"AAindex_YUTK870103_max5";1.0
"AAindex_YUTK870103_max10";0.0
"AAindex_YUTK870103_max15";0.0
"AAindex_YUTK870104_avg";1.0
"AAindex_YUTK870104_min5";1.0
"AAindex_YUTK870104_min10";0.0
"AAindex_YUTK870104_min15";0.0
"AAindex_YUTK870104_max5";1.0
"AAindex_YUTK870104_max10";0.0
"AAindex_YUTK870104_max15";0.0
"AAindex_ZIMJ680101_avg";0.0
"AAindex_ZIMJ680101_min5";1.0
"AAindex_ZIMJ680101_min10";1.0
"AAindex_ZIMJ680101_min15";1.0
"AAindex_ZIMJ680101_max5";1.0
"AAindex_ZIMJ680101_max10";1.0
"AAindex_ZIMJ680101_max15";0.0
"AAindex_PONP930101_avg";0.0
"AAindex_PONP930101_min5";0.0
"AAindex_PONP930101_min10";0.0
"AAindex_PONP930101_min15";1.0
"AAindex_PONP930101_max5";0.0
"AAindex_PONP930101_max10";0.0
"AAindex_PONP930101_max15";1.0
"AAindex_WILM950101_avg";0.0
"AAindex_WILM950101_min5";0.0
"AAindex_WILM950101_min10";1.0
"AAindex_WILM950101_min15";1.0
"AAindex_WILM950101_max5";0.0
"AAindex_WILM950101_max10";0.0
"AAindex_WILM950101_max15";1.0
"AAindex_WILM950102_avg";1.0
"AAindex_WILM950102_min5";0.0
"AAindex_WILM950102_min10";0.0
"AAindex_WILM950102_min15";0.0
"AAindex_WILM950102_max5";1.0
"AAindex_WILM950102_max10";0.0
"AAindex_WILM950102_max15";1.0
"AAindex_WILM950103_avg";1.0
"AAindex_WILM950103_min5";1.0
"AAindex_WILM950103_min10";0.0
"AAindex_WILM950103_min15";0.0
"AAindex_WILM950103_max5";1.0
"AAindex_WILM950103_max10";0.0
"AAindex_WILM950103_max15";1.0
"AAindex_WILM950104_avg";1.0
