"Attribute";"Weight"
"AAcomp_LH";0.0
"AAcomp_LI";1.0
"AAcomp_LL";0.0
"AAcomp_LK";1.0
"AAcomp_LM";0.0
"AAcomp_LF";1.0
"AAcomp_LP";1.0
"AAcomp_LS";0.0
"AAcomp_LT";0.0
"AAcomp_LW";0.0
"AAcomp_LY";1.0
"AAcomp_LV";0.0
"AAcomp_KA";1.0
"AAcomp_KR";1.0
"AAcomp_KN";1.0
"AAcomp_KD";1.0
"AAcomp_KC";1.0
"AAcomp_KQ";1.0
"AAcomp_KE";0.0
"AAcomp_KG";0.0
"AAcomp_KH";0.0
"AAcomp_KI";1.0
"AAcomp_KL";1.0
"AAcomp_KK";0.0
"AAcomp_KM";1.0
"AAcomp_KF";1.0
"AAcomp_KP";0.0
"AAcomp_KS";1.0
"AAcomp_KT";0.0
"AAcomp_KW";0.0
"AAcomp_KY";1.0
"AAcomp_KV";1.0
"AAcomp_MA";1.0
"AAcomp_MR";1.0
"AAcomp_MN";0.0
"AAcomp_MD";0.0
"AAcomp_MC";1.0
"AAcomp_MQ";0.0
"AAcomp_ME";1.0
"AAcomp_MG";1.0
"AAcomp_MH";0.0
"AAcomp_MI";1.0
"AAcomp_ML";1.0
"AAcomp_MK";1.0
"AAcomp_MM";0.0
"AAcomp_MF";1.0
"AAcomp_MP";0.0
"AAcomp_MS";0.0
"AAcomp_MT";0.0
"AAcomp_MW";1.0
"AAcomp_MY";0.0
"AAcomp_MV";0.0
"AAcomp_FA";0.0
"AAcomp_FR";0.0
"AAcomp_FN";0.0
"AAcomp_FD";0.0
"AAcomp_FC";1.0
"AAcomp_FQ";1.0
"AAcomp_FE";0.0
"AAcomp_FG";0.0
"AAcomp_FH";0.0
"AAcomp_FI";0.0
"AAcomp_FL";0.0
"AAcomp_FK";0.0
"AAcomp_FM";0.0
"AAcomp_FF";0.0
"AAcomp_FP";1.0
"AAcomp_FS";0.0
"AAcomp_FT";1.0
"AAcomp_FW";1.0
"AAcomp_FY";1.0
"AAcomp_FV";0.0
"AAcomp_PA";1.0
"AAcomp_PR";1.0
"AAcomp_PN";1.0
"AAcomp_PD";0.0
"AAcomp_PC";0.0
"AAcomp_PQ";0.0
"AAcomp_PE";0.0
"AAcomp_PG";0.0
"AAcomp_PH";0.0
"AAcomp_PI";0.0
"AAcomp_PL";0.0
"AAcomp_PK";1.0
"AAcomp_PM";0.0
"AAcomp_PF";1.0
"AAcomp_PP";1.0
"AAcomp_PS";0.0
"AAcomp_PT";0.0
"AAcomp_PW";1.0
"AAcomp_PY";0.0
"AAcomp_PV";1.0
"AAcomp_SA";1.0
"AAcomp_SR";0.0
"AAcomp_SN";0.0
"AAcomp_SD";1.0
"AAcomp_SC";1.0
"AAcomp_SQ";0.0
"AAcomp_SE";0.0
"AAcomp_SG";0.0
"AAcomp_SH";1.0
"AAcomp_SI";0.0
"AAcomp_SL";1.0
"AAcomp_SK";1.0
"AAcomp_SM";0.0
"AAcomp_SF";1.0
"AAcomp_SP";0.0
"AAcomp_SS";0.0
"AAcomp_ST";1.0
"AAcomp_SW";1.0
"AAcomp_SY";0.0
"AAcomp_SV";0.0
"AAcomp_TA";1.0
"AAcomp_TR";0.0
"AAcomp_TN";0.0
"AAcomp_TD";0.0
"AAcomp_TC";1.0
"AAcomp_TQ";1.0
"AAcomp_TE";1.0
"AAcomp_TG";1.0
"AAcomp_TH";1.0
"AAcomp_TI";0.0
"AAcomp_TL";0.0
"AAcomp_TK";0.0
"AAcomp_TM";1.0
"AAcomp_TF";1.0
"AAcomp_TP";0.0
"AAcomp_TS";0.0
"AAcomp_TT";1.0
"AAcomp_TW";0.0
"AAcomp_TY";0.0
"AAcomp_TV";1.0
"AAcomp_WA";1.0
"AAcomp_WR";0.0
"AAcomp_WN";0.0
"AAcomp_WD";1.0
"AAcomp_WC";1.0
"AAcomp_WQ";0.0
"AAcomp_WE";0.0
"AAcomp_WG";0.0
"AAcomp_WH";1.0
"AAcomp_WI";0.0
"AAcomp_WL";0.0
"AAcomp_WK";1.0
"AAcomp_WM";1.0
"AAcomp_WF";0.0
"AAcomp_WP";0.0
"AAcomp_WS";1.0
"AAcomp_WT";0.0
"AAcomp_WW";1.0
"AAcomp_WY";1.0
"AAcomp_WV";0.0
"AAcomp_YA";1.0
"AAcomp_YR";1.0
"AAcomp_YN";0.0
"AAcomp_YD";1.0
"AAcomp_YC";0.0
"AAcomp_YQ";1.0
"AAcomp_YE";0.0
"AAcomp_YG";0.0
"AAcomp_YH";1.0
"AAcomp_YI";1.0
"AAcomp_YL";0.0
"AAcomp_YK";0.0
"AAcomp_YM";1.0
"AAcomp_YF";1.0
"AAcomp_YP";1.0
"AAcomp_YS";0.0
"AAcomp_YT";0.0
"AAcomp_YW";0.0
"AAcomp_YY";1.0
"AAcomp_YV";0.0
"AAcomp_VA";0.0
"AAcomp_VR";0.0
"AAcomp_VN";1.0
"AAcomp_VD";0.0
"AAcomp_VC";1.0
"AAcomp_VQ";1.0
"AAcomp_VE";1.0
"AAcomp_VG";1.0
"AAcomp_VH";1.0
"AAcomp_VI";0.0
"AAcomp_VL";1.0
"AAcomp_VK";0.0
"AAcomp_VM";1.0
"AAcomp_VF";0.0
"AAcomp_VP";0.0
"AAcomp_VS";1.0
"AAcomp_VT";0.0
"AAcomp_VW";1.0
"AAcomp_VY";1.0
"AAcomp_VV";1.0
